PM10,PM2.5,SO2,CO,O3,NO2,HC
70,62,195,1450,108,190,10
30,27,122,1064,151,196,10
39,35,156,1339,62,190,11
21,18,110,1182,78,186,10
29,26,187,1461,68,183,10
49,43,163,1497,128,208,10
57,50,235,1904,137,193,10
23,20,133,1457,39,185,10
35,31,193,1436,83,190,9
41,37,129,1564,78,210,10
20,18,108,1181,59,188,10
15,14,72,1029,66,178,10
20,18,159,990,39,189,10
27,24,140,1137,,184,9
31,28,78,939,117,208,10
12,11,73,806,48,183,10
33,29,148,1225,39,185,10
16,14,107,888,,183,10
11,10,55,857,39,158,11
13,12,96,854,48,163,11
16,14,71,799,35,176,10
11,10,44,748,32,149,10
13,12,44,787,44,167,10
13,12,96,851,,180,10
22,20,135,832,68,187,10
24,21,140,901,39,184,10
20,18,108,1385,39,177,10
37,33,367,4147,,188,12
36,32,,2062,,188,14
54,48,262,1718,,188,11
57,51,164,2959,,191,10
